id	node1	label	node2
Q1011-P1448-4	Q1011	P1448	'Cabo Verde'@pt
Q1011-P1448-1	Q1011	P1448	'Capo Verde'@it
Q1011-P1448-3	Q1011	P1448	'Republik Cabo Verde'@de
Q1011-P1448-2	Q1011	P1448	'República de Cabo Verde'@pt
Q1011-P1448-5	Q1011	P1448	'la République du Cap-Vert'@fr
Q1011-P1451-2	Q1011	P1451	'Friede, Arbeit, Vaterland'@de
Q1011-P1451-3	Q1011	P1451	'No stress'@en
Q1011-P1451-1	Q1011	P1451	'Paz, Trabalho, Pátria'@pt
Q1011-P1549-1	Q1011	P1549	'Cabo Verdean'@en
Q1011-P1549-11	Q1011	P1549	'Cap-Verdien'@fr
Q1011-P1549-12	Q1011	P1549	'Cap-Verdienne'@fr
Q1011-P1549-21	Q1011	P1549	'Cap-verdien'@fr
Q1011-P1549-23	Q1011	P1549	'Cap-verdienne'@fr
Q1011-P1549-4	Q1011	P1549	'Cape Verdean'@en
Q1011-P1549-22	Q1011	P1549	'Capverdien'@fr
Q1011-P1549-24	Q1011	P1549	'Capverdienne'@fr
Q1011-P1549-18	Q1011	P1549	'cabo-verdiano'@pt
Q1011-P1549-20	Q1011	P1549	'cabuverdiana'@ast
Q1011-P1549-19	Q1011	P1549	'cabuverdiano'@ast
Q1011-P1549-17	Q1011	P1549	'capoverdean'@lfn
Q1011-P1549-14	Q1011	P1549	'capoverdiana'@it
Q1011-P1549-16	Q1011	P1549	'capoverdiane'@it
Q1011-P1549-15	Q1011	P1549	'capoverdiani'@it
Q1011-P1549-13	Q1011	P1549	'capoverdiano'@it
Q1011-P1549-8	Q1011	P1549	'capverdian'@ro
Q1011-P1549-9	Q1011	P1549	'capverdiană'@ro
Q1011-P1549-7	Q1011	P1549	'capverdieni'@ro
Q1011-P1549-3	Q1011	P1549	'kapverder'@da
Q1011-P1549-2	Q1011	P1549	'zöld-foki köztársasági'@hu
Q1011-P1549-5	Q1011	P1549	'כף ורדי'@he
Q1011-P1549-6	Q1011	P1549	'כף ורדית'@he
Q1011-P1549-10	Q1011	P1549	'কাবু ভের্দীয়'@bn
Q1011-P1813-1	Q1011	P1813	'🇨🇻'@zxx
Q1019-P1448-2	Q1019	P1448	'Madagascar'@fr
Q1019-P1448-1	Q1019	P1448	'Madagascar'@it
Q1019-P1448-3	Q1019	P1448	'la République de Madagascar'@fr
Q1019-P1451-5	Q1019	P1451	'A genuine island, a world apart'@en
Q1019-P1451-2	Q1019	P1451	'Amour, Patrie, Progrès'@fr
Q1019-P1451-1	Q1019	P1451	'Fitiavana, Tanindrazana, Fandrosoana'@mg
Q1019-P1451-3	Q1019	P1451	'Love, Land of Our Ancestors, Progress'@en
Q1019-P1451-4	Q1019	P1451	'Любов, Отечество, прогрес'@bg
Q1019-P1549-22	Q1019	P1549	'Madagaskarano'@eo
Q1019-P1549-5	Q1019	P1549	'Madagaskarano'@io
Q1019-P1549-6	Q1019	P1549	'Malagaseänan'@vo
Q1019-P1549-1	Q1019	P1549	'Malagasy'@en
Q1019-P1549-20	Q1019	P1549	'Malagasy'@mg
Q1019-P1549-14	Q1019	P1549	'Malgache'@fr
Q1019-P1549-2	Q1019	P1549	'madagaszkári'@hu
Q1019-P1549-19	Q1019	P1549	'malagasi'@lfn
Q1019-P1549-18	Q1019	P1549	'malgasce'@it
Q1019-P1549-17	Q1019	P1549	'malgasci'@it
Q1019-P1549-16	Q1019	P1549	'malgascia'@it
Q1019-P1549-15	Q1019	P1549	'malgascio'@it
Q1019-P1549-21	Q1019	P1549	'malgaxe'@ast
Q1019-P1549-11	Q1019	P1549	'malgaș'@ro
Q1019-P1549-10	Q1019	P1549	'malgași'@ro
Q1019-P1549-12	Q1019	P1549	'malgașă'@ro
Q1019-P1549-3	Q1019	P1549	'малагасиец'@ru
Q1019-P1549-4	Q1019	P1549	'малагасийка'@ru
Q1019-P1549-7	Q1019	P1549	'مدغشقري'@ar
Q1019-P1549-8	Q1019	P1549	'مدغشقرية'@ar
Q1019-P1549-9	Q1019	P1549	'مدغشقريون'@ar
Q1019-P1549-13	Q1019	P1549	'মালাগাসি'@bn
Q1019-P1705-1	Q1019	P1705	'Republikan\\\\'i Madagaskar'@mg
Q1019-P1705-2	Q1019	P1705	'République de Madagascar'@fr
Q1019-P1813-1	Q1019	P1813	'🇲🇬'@zxx
Q1027-P1448-2	Q1027	P1448	'Mauritius'@en
Q1027-P1448-1	Q1027	P1448	'Mauritius'@it
Q1027-P1448-3	Q1027	P1448	'la République de Maurice'@fr
Q1027-P1451-4	Q1027	P1451	'It\\\\'s a pleasure'@en
Q1027-P1451-2	Q1027	P1451	'L’étoile et la clé de l’océan Indien'@fr
Q1027-P1451-3	Q1027	P1451	'Star and Key of the Indian Ocean'@en
Q1027-P1451-1	Q1027	P1451	'Stella Clavisque Maris Indici'@la
Q1027-P1549-3	Q1027	P1549	'Mauricano'@io
Q1027-P1549-28	Q1027	P1549	'Mauricien'@fr
Q1027-P1549-29	Q1027	P1549	'Mauricienne'@fr
Q1027-P1549-2	Q1027	P1549	'Mauritian'@en
Q1027-P1549-4	Q1027	P1549	'Moriseänan'@vo
Q1027-P1549-26	Q1027	P1549	'mauriciana'@ast
Q1027-P1549-27	Q1027	P1549	'mauriciano'@ast
Q1027-P1549-25	Q1027	P1549	'mauricianu'@ast
Q1027-P1549-21	Q1027	P1549	'mauricien'@fr
Q1027-P1549-22	Q1027	P1549	'mauricienne'@fr
Q1027-P1549-24	Q1027	P1549	'mauriciennes'@fr
Q1027-P1549-23	Q1027	P1549	'mauriciens'@fr
Q1027-P1549-20	Q1027	P1549	'maurisian'@lfn
Q1027-P1549-13	Q1027	P1549	'mauritian'@ro
Q1027-P1549-14	Q1027	P1549	'mauritiană'@ro
Q1027-P1549-12	Q1027	P1549	'mauritieni'@ro
Q1027-P1549-1	Q1027	P1549	'mauritiusi'@hu
Q1027-P1549-17	Q1027	P1549	'mauriziana'@it
Q1027-P1549-19	Q1027	P1549	'mauriziane'@it
Q1027-P1549-18	Q1027	P1549	'mauriziani'@it
Q1027-P1549-16	Q1027	P1549	'mauriziano'@it
Q1027-P1549-9	Q1027	P1549	'маврикиец'@ru
Q1027-P1549-8	Q1027	P1549	'маврикийцы'@ru
Q1027-P1549-10	Q1027	P1549	'מאוריציאני'@he
Q1027-P1549-11	Q1027	P1549	'מאוריציאנית'@he
Q1027-P1549-5	Q1027	P1549	'موريشيوسي'@ar
Q1027-P1549-6	Q1027	P1549	'موريشيوسية'@ar
Q1027-P1549-7	Q1027	P1549	'موريشيوسيون'@ar
Q1027-P1549-15	Q1027	P1549	'মরিশাসীয়'@bn
Q1027-P1705-1	Q1027	P1705	'République de Maurice'@fr
Q1027-P1813-1	Q1027	P1813	'🇲🇺'@zxx
Q10272528-P1559-1	Q10272528	P1559	'Empresa de Cervejas da Madeira'@pt
Q1033-P1448-1	Q1033	P1448	'Federal Republic of Nigeria'@en
Q1033-P1448-5	Q1033	P1448	'Naigeria'@ig
Q1033-P1448-4	Q1033	P1448	'Nigeria'@en
Q1033-P1448-3	Q1033	P1448	'Nijeriya'@ha
Q1033-P1448-6	Q1033	P1448	'Nàìjíríà'@yo
Q1033-P1448-2	Q1033	P1448	'Orílẹ̀-èdè Olómìniira Aláàpapọ̀ Nàìjíríà'@yo
Q1033-P1448-7	Q1033	P1448	'la République fédérale du Nigéria'@fr
Q1033-P1451-3	Q1033	P1451	'Good people, great nation'@en
Q1033-P1451-1	Q1033	P1451	'Unity and Faith, Peace and Progress'@en
Q1033-P1451-2	Q1033	P1451	'Единство и вяра, мир и прогрес'@bg
Q1033-P1549-2	Q1033	P1549	'Nigerian'@en
Q1033-P1549-3	Q1033	P1549	'Nigeriano'@io
Q1033-P1549-4	Q1033	P1549	'Nigeriyänan'@vo
Q1033-P1549-28	Q1033	P1549	'Nigérian'@fr
Q1033-P1549-27	Q1033	P1549	'Nigériane'@fr
Q1033-P1549-26	Q1033	P1549	'Niĝeriano'@eo
Q1033-P1549-14	Q1033	P1549	'nigerian'@ro
Q1033-P1549-18	Q1033	P1549	'nigeriana'@it
Q1033-P1549-15	Q1033	P1549	'nigeriancă'@ro
Q1033-P1549-20	Q1033	P1549	'nigeriane'@it
Q1033-P1549-19	Q1033	P1549	'nigeriani'@it
Q1033-P1549-17	Q1033	P1549	'nigeriano'@it
Q1033-P1549-13	Q1033	P1549	'nigerieni'@ro
Q1033-P1549-1	Q1033	P1549	'nigériai'@hu
Q1033-P1549-22	Q1033	P1549	'nigérian'@fr
Q1033-P1549-23	Q1033	P1549	'nigériane'@fr
Q1033-P1549-21	Q1033	P1549	'nijerian'@lfn
Q1033-P1549-25	Q1033	P1549	'nixeriana'@ast
Q1033-P1549-24	Q1033	P1549	'nixerianu'@ast
Q1033-P1549-8	Q1033	P1549	'нигериец'@ru
Q1033-P1549-9	Q1033	P1549	'нигерийка'@ru
Q1033-P1549-10	Q1033	P1549	'нигерийцы'@ru
Q1033-P1549-11	Q1033	P1549	'ניגרי'@he
Q1033-P1549-12	Q1033	P1549	'ניגרית'@he
Q1033-P1549-5	Q1033	P1549	'نيجيري'@ar
Q1033-P1549-7	Q1033	P1549	'نيجيرية'@ar
Q1033-P1549-6	Q1033	P1549	'نيجيريون'@ar
Q1033-P1549-16	Q1033	P1549	'নাইজেরীয়'@bn
Q1033-P1705-2	Q1033	P1705	'Naigeria'@ig
Q1033-P1705-1	Q1033	P1705	'Nijeriya'@ha
Q1033-P1705-3	Q1033	P1705	'Nàìjíríà'@yo
Q1033-P1813-3	Q1033	P1813	'NG'@en
Q1033-P1813-2	Q1033	P1813	'Nigeria'@en
Q1033-P1813-1	Q1033	P1813	'🇳🇬'@zxx
Q1036-P1448-3	Q1036	P1448	'Ouganda'@fr
Q1036-P1448-2	Q1036	P1448	'Uganda'@en
Q1036-P1448-1	Q1036	P1448	'Uganda'@it
Q1036-P1451-1	Q1036	P1451	'For God and My Country'@en
Q1036-P1451-2	Q1036	P1451	'kwa mungu na nchi yangu'@sw
Q1036-P1451-3	Q1036	P1451	'За Бог и страната ми'@bg
Q1036-P1549-7	Q1036	P1549	'Lugandayänan'@vo
Q1036-P1549-4	Q1036	P1549	'Oegandees'@nl
Q1036-P1549-17	Q1036	P1549	'Ougandais'@fr
Q1036-P1549-18	Q1036	P1549	'Ougandaise'@fr
Q1036-P1549-5	Q1036	P1549	'Ugandan'@en
Q1036-P1549-24	Q1036	P1549	'Ugandano'@eo
Q1036-P1549-6	Q1036	P1549	'Ugandano'@io
Q1036-P1549-3	Q1036	P1549	'ugandai'@hu
Q1036-P1549-21	Q1036	P1549	'ugandan'@lfn
Q1036-P1549-2	Q1036	P1549	'ugandar'@nn
Q1036-P1549-1	Q1036	P1549	'ugander'@nb
Q1036-P1549-23	Q1036	P1549	'ugandesa'@ast
Q1036-P1549-19	Q1036	P1549	'ugandese'@it
Q1036-P1549-20	Q1036	P1549	'ugandesi'@it
Q1036-P1549-14	Q1036	P1549	'ugandez'@ro
Q1036-P1549-13	Q1036	P1549	'ugandezi'@ro
Q1036-P1549-15	Q1036	P1549	'ugandeză'@ro
Q1036-P1549-22	Q1036	P1549	'ugandés'@ast
Q1036-P1549-11	Q1036	P1549	'אוגנדי'@he
Q1036-P1549-12	Q1036	P1549	'אוגנדית'@he
Q1036-P1549-8	Q1036	P1549	'أوغندي'@ar
Q1036-P1549-9	Q1036	P1549	'أوغندية'@ar
Q1036-P1549-10	Q1036	P1549	'أوغنديون'@ar
Q1036-P1549-16	Q1036	P1549	'উগান্ডীয়'@bn
Q1036-P1813-1	Q1036	P1813	'🇺🇬'@zxx
Q113215-P1448-1	Q113215	P1448	'CARLSBERG BREWERIES A/S'@en
Q11575-P1843-3	Q11575	P1843	'Aburoo'@ak
Q11575-P1843-11	Q11575	P1843	'Blat de moro'@ca
Q11575-P1843-18	Q11575	P1843	'Bli'@ee
Q11575-P1843-24	Q11575	P1843	'Coronta o Panocha'@es
Q11575-P1843-12	Q11575	P1843	'Dacsa'@ca
Q11575-P1843-65	Q11575	P1843	'Dinrêye'@wa
Q11575-P1843-25	Q11575	P1843	'Elote o Choclo'@es
Q11575-P1843-62	Q11575	P1843	'Formenton'@vec
Q11575-P1843-63	Q11575	P1843	'Granturco'@vec
Q11575-P1843-6	Q11575	P1843	'Gugarutz'@bar
Q11575-P1843-1	Q11575	P1843	'India-corn'@cy
Q11575-P1843-20	Q11575	P1843	'Indian Corn'@en
Q11575-P1843-42	Q11575	P1843	'Jagung'@jv
