id	node1	label	node2
Q1000597-P1082-1	Q1000597	P1082	+75074
Q1011-P1081-8	Q1011	P1081	+0.570
Q1011-P1081-1	Q1011	P1081	+0.572
Q1011-P1081-9	Q1011	P1081	+0.575
Q1011-P1081-10	Q1011	P1081	+0.585
Q1011-P1081-11	Q1011	P1081	+0.589
Q1011-P1081-12	Q1011	P1081	+0.592
Q1011-P1081-2	Q1011	P1081	+0.594
Q1011-P1081-13	Q1011	P1081	+0.598
Q1011-P1081-14	Q1011	P1081	+0.613
Q1011-P1081-15	Q1011	P1081	+0.619
Q1011-P1081-16	Q1011	P1081	+0.625
Q1011-P1081-17	Q1011	P1081	+0.626
Q1011-P1081-3	Q1011	P1081	+0.629
Q1011-P1081-18	Q1011	P1081	+0.635
Q1011-P1081-19	Q1011	P1081	+0.636
Q1011-P1081-4	Q1011	P1081	+0.637
Q1011-P1081-5	Q1011	P1081	+0.639
Q1011-P1081-20	Q1011	P1081	+0.642
Q1011-P1081-6	Q1011	P1081	+0.643
Q1011-P1081-21	Q1011	P1081	+0.644
Q1011-P1081-7	Q1011	P1081	+0.646
Q1011-P1081-22	Q1011	P1081	+0.647
Q1011-P1081-23	Q1011	P1081	+0.652
Q1011-P1081-24	Q1011	P1081	+0.654
Q1011-P1082-1	Q1011	P1082	+212247
Q1011-P1082-2	Q1011	P1082	+217150
Q1011-P1082-3	Q1011	P1082	+222725
Q1011-P1082-4	Q1011	P1082	+228818
Q1011-P1082-5	Q1011	P1082	+235189
Q1011-P1082-6	Q1011	P1082	+241659
Q1011-P1082-7	Q1011	P1082	+248050
Q1011-P1082-8	Q1011	P1082	+254371
Q1011-P1082-9	Q1011	P1082	+260848
Q1011-P1082-10	Q1011	P1082	+267814
Q1011-P1082-11	Q1011	P1082	+275426
Q1011-P1082-12	Q1011	P1082	+283990
Q1011-P1082-13	Q1011	P1082	+293218
Q1011-P1082-21	Q1011	P1082	+301591
Q1011-P1082-14	Q1011	P1082	+301968
Q1011-P1082-20	Q1011	P1082	+302133
Q1011-P1082-22	Q1011	P1082	+304432
Q1011-P1082-19	Q1011	P1082	+305363
Q1011-P1082-15	Q1011	P1082	+308699
Q1011-P1082-18	Q1011	P1082	+309609
Q1011-P1082-23	Q1011	P1082	+310092
Q1011-P1082-16	Q1011	P1082	+312413
Q1011-P1082-17	Q1011	P1082	+312516
Q1011-P1082-24	Q1011	P1082	+317457
Q1011-P1082-25	Q1011	P1082	+324815
Q1011-P1082-26	Q1011	P1082	+330966
Q1011-P1082-27	Q1011	P1082	+335517
Q1011-P1082-28	Q1011	P1082	+338984
Q1011-P1082-29	Q1011	P1082	+342157
Q1011-P1082-30	Q1011	P1082	+346209
Q1011-P1082-31	Q1011	P1082	+351960
Q1011-P1082-32	Q1011	P1082	+359642
Q1011-P1082-33	Q1011	P1082	+368873
Q1011-P1082-34	Q1011	P1082	+379100
Q1011-P1082-35	Q1011	P1082	+389504
Q1011-P1082-36	Q1011	P1082	+399477
Q1011-P1082-37	Q1011	P1082	+408790
Q1011-P1082-38	Q1011	P1082	+417562
Q1011-P1082-39	Q1011	P1082	+425932
Q1011-P1082-40	Q1011	P1082	+434168
