id	node1	label	node2
Q1000597-P281-1	Q1000597	P281	"DE14"
Q1000597-P373-1	Q1000597	P373	"Burton upon Trent"
Q1000597-P473-1	Q1000597	P473	"01283"
Q1000597-P613-1	Q1000597	P613	"SK245225"
Q1011-P2258-1	Q1011	P2258	"625"
Q1011-P2979-1	Q1011	P2979	"617"
Q1011-P373-1	Q1011	P373	"Cape Verde"
Q1011-P395-1	Q1011	P395	"CV"
Q1011-P474-1	Q1011	P474	"+238"
Q1011-P487-1	Q1011	P487	"🇨🇻"
Q1011-P898-1	Q1011	P898	"kɑp\\\\'ʋæɾdə"
Q1011-P935-1	Q1011	P935	"Cabo Verde"
Q1019-P2258-1	Q1019	P2258	"646"
Q1019-P2979-1	Q1019	P2979	"647"
Q1019-P373-1	Q1019	P373	"Madagascar"
Q1019-P395-1	Q1019	P395	"RM"
Q1019-P474-1	Q1019	P474	"+261"
Q1019-P487-1	Q1019	P487	"🇲🇬"
Q1019-P898-1	Q1019	P898	"mɑdɑ\\\\'gɑskɑɾ"
Q1019-P935-1	Q1019	P935	"Madagascar - Madagasikara"
Q1020773-P281-1	Q1020773	P281	"21400–21499"
Q1020773-P373-1	Q1020773	P373	"Tecate"
Q1020773-P473-1	Q1020773	P473	"665"
Q1027-P2258-1	Q1027	P2258	"617"
Q1027-P2979-1	Q1027	P2979	"645"
Q1027-P3067-1	Q1027	P3067	"609"
Q1027-P373-1	Q1027	P373	"Mauritius"
Q1027-P395-1	Q1027	P395	"MS"
Q1027-P474-1	Q1027	P474	"+230"
Q1027-P487-1	Q1027	P487	"🇲🇺"
Q1027-P898-1	Q1027	P898	"mæʉ\\\\'ɾɪtsɪʉs"
Q1027-P935-1	Q1027	P935	"Mauritius"
Q1033-P2258-1	Q1033	P2258	"621"
Q1033-P2979-1	Q1033	P2979	"657"
Q1033-P3067-1	Q1033	P3067	"615"
Q1033-P3238-1	Q1033	P3238	"0"
Q1033-P373-1	Q1033	P373	"Nigeria"
Q1033-P395-1	Q1033	P395	"WAN"
Q1033-P474-1	Q1033	P474	"+234"
Q1033-P487-1	Q1033	P487	"🇳🇬"
Q1033-P898-1	Q1033	P898	"nɪ\\\\'geːɾɪɑ"
Q1033-P935-1	Q1033	P935	"Nigeria"
Q1036-P2258-1	Q1036	P2258	"641"
Q1036-P2979-1	Q1036	P2979	"675"
Q1036-P373-1	Q1036	P373	"Uganda"
Q1036-P395-1	Q1036	P395	"EAU"
Q1036-P474-1	Q1036	P474	"+256"
Q1036-P487-1	Q1036	P487	"🇺🇬"
Q1036-P898-1	Q1036	P898	"ʉ\\\\'gɑndɑ"
Q1036-P935-1	Q1036	P935	"Uganda"
Q1056430-P373-1	Q1056430	P373	"Cuauhtémoc Moctezuma"
Q1121690-P373-1	Q1121690	P373	"Beverage cans"
Q113215-P373-1	Q113215	P373	"Carlsberg Group"
Q11575-P225-1	Q11575	P225	"Zea mays"
Q11575-P373-1	Q11575	P373	"Zea mays"
Q11575-P487-1	Q11575	P487	"🌽"
Q11575-P627-1	Q11575	P627	"77726273"
Q11575-P935-1	Q11575	P935	"Zea mays"
Q11577-P225-1	Q11577	P225	"Hordeum vulgare"
Q11577-P373-1	Q11577	P373	"Hordeum vulgare"
Q11577-P935-1	Q11577	P935	"Hordeum vulgare"
Q1164954-P373-1	Q1164954	P373	"Brasserie Dubuisson"
Q117-P2258-1	Q117	P2258	"620"
Q117-P2979-1	Q117	P2979	"627"
Q117-P3067-1	Q117	P3067	"603"
Q117-P3238-1	Q117	P3238	"0"
Q117-P373-1	Q117	P373	"Ghana"
Q117-P395-1	Q117	P395	"GH"
Q117-P474-1	Q117	P474	"+233"
Q117-P487-1	Q117	P487	"🇬🇭"
Q117-P898-1	Q117	P898	"ˈgɑːnɑ"
Q117-P935-1	Q117	P935	"Ghana"
Q12002324-P373-1	Q12002324	P373	"Shepherd Neame Ltd"
Q12111-P225-1	Q12111	P225	"Sorghum"
Q12111-P373-1	Q12111	P373	"Sorghum"
Q12111-P920-1	Q12111	P920	"LEM201008505"
Q1246-P3067-1	Q1246	P3067	"390"
Q1246-P3238-1	Q1246	P3238	"0"
Q1246-P373-1	Q1246	P373	"Kosovo"
Q1246-P474-1	Q1246	P474	"+383"
Q1246-P487-1	Q1246	P487	"🇽🇰"
