id	node1	label	node2
Q1011-P571-1	Q1011	P571	^1975-07-05T00:00:00Z/11
Q1019-P571-1	Q1019	P571	^1960-01-01T00:00:00Z/9
Q1020773-P571-1	Q1020773	P571	^1892-10-12T00:00:00Z/11
Q1027-P571-1	Q1027	P571	^1968-03-12T00:00:00Z/11
Q10272528-P571-1	Q10272528	P571	^1872-00-00T00:00:00Z/9
Q1033-P571-1	Q1033	P571	^1960-01-01T00:00:00Z/9
Q1036-P571-1	Q1036	P571	^1962-01-01T00:00:00Z/9
Q1056430-P571-1	Q1056430	P571	^1988-00-00T00:00:00Z/9
Q113215-P571-1	Q113215	P571	^1847-01-01T00:00:00Z/9
Q1140843-P571-1	Q1140843	P571	^1916-05-06T00:00:00Z/11
Q1164954-P571-1	Q1164954	P571	^1769-00-00T00:00:00Z/9
Q117-P571-1	Q117	P571	^1957-01-01T00:00:00Z/9
Q12002324-P571-1	Q12002324	P571	^1698-00-00T00:00:00Z/9
Q12282497-P571-1	Q12282497	P571	^1881-00-00T00:00:00Z/9
Q1246-P571-1	Q1246	P571	^2008-02-17T00:00:00Z/11
Q12678128-P571-1	Q12678128	P571	^1853-00-00T00:00:00Z/9
Q12810924-P571-1	Q12810924	P571	^1969-10-31T00:00:00Z/11
Q128738-P571-1	Q128738	P571	^1977-08-02T00:00:00Z/11
Q12877510-P571-1	Q12877510	P571	^1996-02-01T00:00:00Z/11
Q1397604-P571-1	Q1397604	P571	^1664-00-00T00:00:00Z/9
Q142-P571-1	Q142	P571	^0463-00-00T00:00:00Z/9
Q142-P571-2	Q142	P571	^1450-00-00T00:00:00Z/7
Q142-P571-3	Q142	P571	^1958-10-04T00:00:00Z/11
Q142-P7295-1	Q142	P7295	^1582-12-20T00:00:00Z/11
Q142-P7295-2	Q142	P7295	^1806-01-01T00:00:00Z/11
Q145-P571-1	Q145	P571	^1927-04-12T00:00:00Z/11
Q145-P7295-1	Q145	P7295	^1752-09-14T00:00:00Z/11
Q148-P571-1	Q148	P571	^1949-10-01T00:00:00Z/11
Q14835-P571-1	Q14835	P571	^1002-00-00T00:00:00Z/9
Q1502941-P571-1	Q1502941	P571	^1973-00-00T00:00:00Z/9
Q15180-P571-1	Q15180	P571	^1922-12-30T00:00:00Z/11
Q15180-P576-1	Q15180	P576	^1991-12-26T00:00:00Z/11
Q1524-P571-1	Q1524	P571	^-7000-00-00T00:00:00Z/6
Q153015-P571-1	Q153015	P571	^1806-01-01T00:00:00Z/9
Q153015-P576-1	Q153015	P576	^1918-01-01T00:00:00Z/9
Q15304350-P571-1	Q15304350	P571	^1991-00-00T00:00:00Z/9
Q153075-P571-1	Q153075	P571	^1615-00-00T00:00:00Z/9
Q153546-P571-1	Q153546	P571	^1328-00-00T00:00:00Z/9
Q155-P571-1	Q155	P571	^1822-01-01T00:00:00Z/9
Q1584923-P571-1	Q1584923	P571	^1900-00-00T00:00:00Z/9
Q159-P571-1	Q159	P571	^0862-00-00T00:00:00Z/9
Q159-P571-2	Q159	P571	^1917-10-25T00:00:00Z/11
Q159-P571-3	Q159	P571	^1991-12-25T00:00:00Z/11
Q159-P571-4	Q159	P571	^1991-12-26T00:00:00Z/11
Q159-P7295-1	Q159	P7295	^1918-02-14T00:00:00Z/11
Q16-P571-1	Q16	P571	^1867-07-01T00:00:00Z/11
Q161140-P571-1	Q161140	P571	^1997-12-01T00:00:00Z/10
Q1632494-P571-1	Q1632494	P571	^1906-00-00T00:00:00Z/9
Q16533727-P571-1	Q16533727	P571	^2011-00-00T00:00:00Z/9
Q17-P571-2	Q17	P571	^-0660-02-11T00:00:00Z/11
Q17-P571-1	Q17	P571	^1947-05-03T00:00:00Z/11
Q17151-P1249-1	Q17151	P1249	^-0400-00-00T00:00:00Z/7
Q17151-P571-1	Q17151	P571	^-0315-00-00T00:00:00Z/9
Q1726-P1249-1	Q1726	P1249	^1158-06-14T00:00:00Z/11
Q1726-P571-1	Q1726	P571	^1158-00-00T00:00:00Z/9
Q172668-P1249-1	Q172668	P1249	^1070-00-00T00:00:00Z/9
Q1798652-P571-1	Q1798652	P571	^1873-00-00T00:00:00Z/9
Q1806359-P571-1	Q1806359	P571	^1993-00-00T00:00:00Z/9
Q180855-P571-1	Q180855	P571	^1864-07-12T00:00:00Z/11
