id	node1	label	node2
Q1000597-P131-1	Q1000597	P131	Q1278032
Q1000597-P1343-1	Q1000597	P1343	Q19180675
Q1000597-P1343-4	Q1000597	P1343	Q3181656
Q1000597-P1343-2	Q1000597	P1343	Q602358
Q1000597-P1343-3	Q1000597	P1343	Q867541
Q1000597-P1376-1	Q1000597	P1376	Q1278032
Q1000597-P1464-1	Q1000597	P1464	Q9223756
Q1000597-P1465-1	Q1000597	P1465	Q9217818
Q1000597-P17-1	Q1000597	P17	Q145
Q1000597-P1792-1	Q1000597	P1792	Q7909003
Q1000597-P31-1	Q1000597	P31	Q3957
Q1000597-P421-1	Q1000597	P421	Q6574
Q1000597-P47-1	Q1000597	P47	Q2379129
Q1000597-P7959-1	Q1000597	P7959	Q67574558
Q1000597-P910-1	Q1000597	P910	Q8329445
Q1011-P1151-1	Q1011	P1151	Q10955046
Q1011-P122-1	Q1011	P122	Q4198907
Q1011-P1304-1	Q1011	P1304	Q4077341
Q1011-P1313-1	Q1011	P1313	Q30100568
Q1011-P1343-2	Q1011	P1343	Q2657718
Q1011-P1343-3	Q1011	P1343	Q3181656
Q1011-P1343-1	Q1011	P1343	Q602358
Q1011-P1365-1	Q1011	P1365	Q3023340
Q1011-P138-1	Q1011	P138	Q216889
Q1011-P1464-1	Q1011	P1464	Q8055468
Q1011-P1465-1	Q1011	P1465	Q9217896
Q1011-P150-4	Q1011	P150	Q1355642
Q1011-P150-5	Q1011	P150	Q1475374
Q1011-P150-6	Q1011	P150	Q1552897
Q1011-P150-9	Q1011	P150	Q1895853
Q1011-P150-12	Q1011	P150	Q2551133
Q1011-P150-11	Q1011	P150	Q2571624
Q1011-P150-18	Q1011	P150	Q2608046
Q1011-P150-16	Q1011	P150	Q2721003
Q1011-P150-10	Q1011	P150	Q2721025
Q1011-P150-1	Q1011	P150	Q494726
Q1011-P150-2	Q1011	P150	Q494874
Q1011-P150-3	Q1011	P150	Q494877
Q1011-P150-17	Q1011	P150	Q494882
Q1011-P150-14	Q1011	P150	Q497019
Q1011-P150-19	Q1011	P150	Q497472
Q1011-P150-20	Q1011	P150	Q499009
Q1011-P150-22	Q1011	P150	Q499598
Q1011-P150-15	Q1011	P150	Q499620
Q1011-P150-13	Q1011	P150	Q516835
Q1011-P150-21	Q1011	P150	Q6430079
Q1011-P150-7	Q1011	P150	Q648842
Q1011-P150-8	Q1011	P150	Q747221
Q1011-P155-1	Q1011	P155	Q200464
Q1011-P1552-1	Q1011	P1552	Q3174312
Q1011-P1589-1	Q1011	P1589	Q65688954
Q1011-P1622-1	Q1011	P1622	Q14565199
Q1011-P163-1	Q1011	P163	Q102944
Q1011-P17-1	Q1011	P17	Q1011
Q1011-P17-2	Q1011	P17	Q200464
Q1011-P1740-1	Q1011	P1740	Q19363060
Q1011-P1792-1	Q1011	P1792	Q6994845
Q1011-P1889-1	Q1011	P1889	Q216889
Q1011-P1906-1	Q1011	P1906	Q19058382
Q1011-P194-1	Q1011	P194	Q1718790
Q1011-P206-1	Q1011	P206	Q97
Q1011-P209-1	Q1011	P209	Q13381385
Q1011-P2184-1	Q1011	P2184	Q512094
Q1011-P237-1	Q1011	P237	Q107140
Q1011-P2596-1	Q1011	P2596	Q598396
Q1011-P2633-1	Q1011	P2633	Q2309688
Q1011-P2852-1	Q1011	P2852	Q25648847
Q1011-P2852-2	Q1011	P2852	Q25648848
Q1011-P2852-3	Q1011	P2852	Q25648849
Q1011-P2853-2	Q1011	P2853	Q1123613
Q1011-P2853-1	Q1011	P2853	Q1378312
Q1011-P2936-2	Q1011	P2936	Q35963
Q1011-P2936-1	Q1011	P2936	Q5146
Q1011-P30-1	Q1011	P30	Q15
Q1011-P31-2	Q1011	P31	Q112099
Q1011-P31-1	Q1011	P31	Q3624078
Q1011-P35-1	Q1011	P35	Q57517
Q1011-P36-1	Q1011	P36	Q3751
Q1011-P361-1	Q1011	P361	Q105472
Q1011-P361-2	Q1011	P361	Q1360686
Q1011-P361-3	Q1011	P361	Q4412
Q1011-P37-2	Q1011	P37	Q35963
Q1011-P37-1	Q1011	P37	Q5146
Q1011-P38-1	Q1011	P38	Q4591
Q1011-P421-1	Q1011	P421	Q3208688
Q1011-P421-2	Q1011	P421	Q6540
Q1011-P457-1	Q1011	P457	Q13381335
Q1011-P463-29	Q1011	P463	Q1043527
Q1011-P463-20	Q1011	P463	Q1065
Q1011-P463-3	Q1011	P463	Q1144508
Q1011-P463-8	Q1011	P463	Q125761
Q1011-P463-35	Q1011	P463	Q134102
Q1011-P463-26	Q1011	P463	Q170424
Q1011-P463-24	Q1011	P463	Q17495
Q1011-P463-21	Q1011	P463	Q182000
Q1011-P463-32	Q1011	P463	Q182500
Q1011-P463-7	Q1011	P463	Q191384
Q1011-P463-18	Q1011	P463	Q191703
Q1011-P463-4	Q1011	P463	Q193272
Q1011-P463-13	Q1011	P463	Q201054
Q1011-P463-1	Q1011	P463	Q294278
Q1011-P463-34	Q1011	P463	Q3348506
Q1011-P463-2	Q1011	P463	Q340195
Q1011-P463-16	Q1011	P463	Q376150
Q1011-P463-23	Q1011	P463	Q386120
Q1011-P463-6	Q1011	P463	Q477328
Q1011-P463-31	Q1011	P463	Q496967
Q1011-P463-11	Q1011	P463	Q656801
Q1011-P463-10	Q1011	P463	Q689859
Q1011-P463-27	Q1011	P463	Q7159
Q1011-P463-14	Q1011	P463	Q778126
Q1011-P463-12	Q1011	P463	Q7804
Q1011-P463-22	Q1011	P463	Q7809
Q1011-P463-33	Q1011	P463	Q7809
Q1011-P463-25	Q1011	P463	Q7817
Q1011-P463-28	Q1011	P463	Q7825
Q1011-P463-5	Q1011	P463	Q82151
Q1011-P463-9	Q1011	P463	Q827525
Q1011-P463-17	Q1011	P463	Q83201
Q1011-P463-19	Q1011	P463	Q842490
Q1011-P463-15	Q1011	P463	Q8475
Q1011-P463-30	Q1011	P463	Q899770
Q1011-P47-1	Q1011	P47	novalue
Q1011-P485-1	Q1011	P485	Q14915083
Q1011-P5125-1	Q1011	P5125	Q7112222
Q1011-P530-8	Q1011	P530	Q1041
Q1011-P530-5	Q1011	P530	Q142
Q1011-P530-3	Q1011	P530	Q148
Q1011-P530-2	Q1011	P530	Q155
Q1011-P530-9	Q1011	P530	Q159
Q1011-P530-6	Q1011	P530	Q183
Q1011-P530-13	Q1011	P530	Q230
Q1011-P530-4	Q1011	P530	Q241
Q1011-P530-10	Q1011	P530	Q30
Q1011-P530-14	Q1011	P530	Q423
Q1011-P530-7	Q1011	P530	Q45
Q1011-P530-11	Q1011	P530	Q458
Q1011-P530-12	Q1011	P530	Q865
Q1011-P530-1	Q1011	P530	Q916
Q1011-P6-1	Q1011	P6	Q23899522
Q1011-P610-1	Q1011	P610	Q499108
Q1011-P706-1	Q1011	P706	Q4412
Q1011-P78-1	Q1011	P78	Q41022
Q1011-P7867-1	Q1011	P7867	Q84042504
Q1011-P832-4	Q1011	P832	Q10901070
Q1011-P832-1	Q1011	P832	Q14757695
Q1011-P832-3	Q1011	P832	Q14757696
Q1011-P832-5	Q1011	P832	Q162691
Q1011-P832-2	Q1011	P832	Q196627
Q1011-P832-7	Q1011	P832	Q37081
Q1011-P832-6	Q1011	P832	Q587
Q1011-P85-1	Q1011	P85	Q110159
Q1011-P868-1	Q1011	P868	Q2060858
Q1011-P868-2	Q1011	P868	Q4904725
Q1011-P868-3	Q1011	P868	Q4939470
Q1011-P910-1	Q1011	P910	Q6889968
Q1019-P1151-1	Q1019	P1151	Q13483881
Q1019-P122-1	Q1019	P122	Q7270
Q1019-P1304-1	Q1019	P1304	Q3433330
