id	node1	label	node2
Q131734-P1963-2	Q131734	P1963	P2904
Q131734-P1963-1	Q131734	P1963	P2905
Q131734-P1963-3	Q131734	P1963	P3002
Q1485500-P1963-1	Q1485500	P1963	P3962
Q2751813-P1687-1	Q2751813	P1687	P1389
Q431289-P1687-1	Q431289	P1687	P1716
Q431289-P1963-2	Q431289	P1963	P127
Q431289-P1963-1	Q431289	P1963	P154
Q4830453-P1963-7	Q4830453	P1963	P1056
Q4830453-P1963-11	Q4830453	P1963	P1128
Q4830453-P1963-6	Q4830453	P1963	P1448
Q4830453-P1963-3	Q4830453	P1963	P1454
Q4830453-P1963-8	Q4830453	P1963	P17
Q4830453-P1963-1	Q4830453	P1963	P2403
Q4830453-P1963-4	Q4830453	P1963	P2541
Q4830453-P1963-2	Q4830453	P1963	P452
Q4830453-P1963-9	Q4830453	P1963	P571
Q4830453-P1963-10	Q4830453	P1963	P576
Q4830453-P1963-5	Q4830453	P1963	P856
