id	node1	label	node2
P10-P1629-1	P10	P1629	Q34508
P10-P1855-1	P10	P1855	Q4504
P10-P1855-2	P10	P1855	Q69063653
P10-P1855-3	P10	P1855	Q15075950
P10-P1855-4	P10	P1855	Q7378
P10-P31-1	P10	P31	Q18610173
P10-P2302-1	P10	P2302	Q21510852
P10-P2302-2	P10	P2302	Q21502404
P10-P2302-3	P10	P2302	Q21510851
P1001-P31-1	P1001	P31	Q22984026
P1001-P31-2	P1001	P31	Q22997934
P1001-P31-3	P1001	P31	Q15720608
P1001-P31-4	P1001	P31	Q61719275
P1001-P1855-1	P1001	P1855	Q8901
P1001-P1855-2	P1001	P1855	Q11696
P1001-P1855-3	P1001	P1855	Q19689183
P1001-P1855-4	P1001	P1855	Q382617
P1001-P1855-5	P1001	P1855	Q12371988
P1001-P1855-6	P1001	P1855	Q103163
P1001-P1855-7	P1001	P1855	Q3917299
P1001-P1855-8	P1001	P1855	Q181574
P1001-P1855-9	P1001	P1855	Q29868931
P1001-P1855-10	P1001	P1855	Q7889769
P1001-P2875-1	P1001	P2875	Q26250009
P1001-P2302-1	P1001	P2302	Q21503250
P1001-P2302-2	P1001	P2302	Q21510865
P1001-P2302-3	P1001	P2302	Q25796498
P1001-P2302-4	P1001	P2302	Q21502838
P1001-P3734-1	P1001	P3734	Q42533404
P1001-P1629-1	P1001	P1629	Q5982983
P1005-P31-1	P1005	P31	Q55586529
P1005-P1629-1	P1005	P1629	Q245966
P1005-P1855-1	P1005	P1855	Q134461
P1005-P1855-2	P1005	P1855	Q10326158
P1005-P1552-1	P1005	P1552	Q26921380
P1005-P17-1	P1005	P17	Q45
P1005-P2302-1	P1005	P2302	Q21502404
P1005-P2302-2	P1005	P2302	Q21502410
P1005-P2875-1	P1005	P2875	Q61034944
P1005-P2378-1	P1005	P2378	Q245966
P101-P31-1	P101	P31	Q57955292
P101-P31-2	P101	P31	Q56457408
P101-P1629-1	P101	P1629	Q627436
P101-P2875-1	P101	P2875	Q23908981
P101-P1855-1	P101	P1855	Q89460
P101-P1855-2	P101	P1855	Q7186
P101-P1855-3	P101	P1855	Q1777741
P101-P2302-1	P101	P2302	Q21503250
P101-P3734-1	P101	P3734	Q42533436
P1014-P31-1	P1014	P31	Q89560413
P1014-P31-2	P1014	P31	Q27918607
P1014-P31-3	P1014	P31	Q43831109
P1014-P1629-1	P1014	P1629	Q611299
P1014-P1855-1	P1014	P1855	Q179700
P1014-P1855-2	P1014	P1855	Q23498
P1014-P1855-3	P1014	P1855	Q68
P1014-P2302-1	P1014	P2302	Q21502404
P1014-P2302-2	P1014	P2302	Q19474404
P1014-P2302-3	P1014	P2302	Q21502410
P1014-P2875-1	P1014	P2875	Q45314937
P1015-P31-1	P1015	P31	Q55586529
P1015-P31-2	P1015	P31	Q19595382
P1015-P31-3	P1015	P31	Q19833377
P1015-P1629-1	P1015	P1629	Q16889143
P1015-P1855-1	P1015	P1855	Q76483
P1015-P1855-2	P1015	P1855	Q43203
P1015-P1855-3	P1015	P1855	Q54129
P1015-P2378-1	P1015	P2378	Q55097783
P1015-P2378-2	P1015	P2378	Q924551
P1015-P2875-1	P1015	P2875	Q8709054
P1015-P17-1	P1015	P17	Q20
P1015-P1552-1	P1015	P1552	Q26921380
P1015-P2302-1	P1015	P2302	Q21503250
P1015-P2302-2	P1015	P2302	Q19474404
P1015-P2302-3	P1015	P2302	Q21502410
P1015-P2302-4	P1015	P2302	Q21502404
P1015-P2302-5	P1015	P2302	Q21503247
P1015-P2667-1	P1015	P2667	Q6717525
P1017-P31-1	P1017	P31	Q19595382
P1017-P31-2	P1017	P31	Q64263681
P1017-P31-3	P1017	P31	Q60457486
