id	node1	label	node2
Q1000597-P31-1	Q1000597	P31	Q3957
Q1011-P31-2	Q1011	P31	Q112099
Q1011-P31-1	Q1011	P31	Q3624078
Q1019-P31-2	Q1019	P31	Q112099
Q1019-P31-1	Q1019	P31	Q3624078
Q1020773-P31-1	Q1020773	P31	Q3957
Q1020773-P31-2	Q1020773	P31	Q902814
Q1027-P31-4	Q1027	P31	Q112099
Q1027-P31-5	Q1027	P31	Q2221906
Q1027-P31-2	Q1027	P31	Q3624078
Q1027-P31-1	Q1027	P31	Q4198907
Q1027-P31-3	Q1027	P31	Q6256
Q1027-P31-6	Q1027	P31	Q7270
Q10272528-P31-1	Q10272528	P31	Q4830453
Q1033-P31-1	Q1033	P31	Q3624078
Q1033-P31-2	Q1033	P31	Q512187
Q1036-P31-3	Q1036	P31	Q123480
Q1036-P31-1	Q1036	P31	Q3624078
Q1036-P31-2	Q1036	P31	Q7270
Q1056430-P31-1	Q1056430	P31	Q131734
Q1056430-P31-2	Q1056430	P31	Q4830453
Q113215-P31-1	Q113215	P31	Q131734
Q113215-P31-2	Q113215	P31	Q4830453
Q113215-P31-3	Q113215	P31	Q6881511
Q1140843-P31-2	Q1140843	P31	Q431289
Q1140843-P31-1	Q1140843	P31	Q4830453
Q11575-P31-1	Q11575	P31	Q16521
Q11575-P31-2	Q11575	P31	Q213907
Q11577-P31-1	Q11577	P31	Q16521
Q1164954-P31-1	Q1164954	P31	Q131734
Q1164954-P31-2	Q1164954	P31	Q4830453
Q117-P31-1	Q117	P31	Q3624078
Q11994509-P31-1	Q11994509	P31	Q1998962
Q12002324-P31-2	Q12002324	P31	Q131734
Q12002324-P31-1	Q12002324	P31	Q4830453
Q12008405-P31-1	Q12008405	P31	Q1998962
Q12111-P31-1	Q12111	P31	Q16521
Q12282497-P31-1	Q12282497	P31	Q6881511
Q1246-P31-2	Q1246	P31	Q123480
Q1246-P31-3	Q1246	P31	Q15634554
Q1246-P31-1	Q1246	P31	Q179164
Q1246-P31-4	Q1246	P31	Q6256
Q12678128-P31-1	Q12678128	P31	Q4830453
Q12810924-P31-1	Q12810924	P31	Q1887898
Q128738-P31-1	Q128738	P31	Q4830453
Q12875697-P31-1	Q12875697	P31	Q1349648
Q12877510-P31-1	Q12877510	P31	Q131734
Q12877510-P31-5	Q12877510	P31	Q15075508
Q12877510-P31-2	Q12877510	P31	Q40050
Q12877510-P31-3	Q12877510	P31	Q44
Q12877510-P31-6	Q12877510	P31	Q4830453
Q12877510-P31-4	Q12877510	P31	Q783794
Q131413-P31-1	Q131413	P31	Q1998962
Q133123-P31-2	Q133123	P31	Q1549591
Q133123-P31-1	Q133123	P31	Q515
Q134161-P31-1	Q134161	P31	Q1269299
Q1342474-P31-1	Q1342474	P31	Q131734
Q13439309-P31-1	Q13439309	P31	Q131734
Q13445529-P31-1	Q13445529	P31	Q131734
Q13569361-P31-1	Q13569361	P31	Q131734
Q1397604-P31-1	Q1397604	P31	Q131734
Q1397604-P31-2	Q1397604	P31	Q4830453
Q1397604-P31-3	Q1397604	P31	Q6881511
Q142-P31-2	Q142	P31	Q20181813
Q142-P31-1	Q142	P31	Q3624078
Q142-P31-3	Q142	P31	Q51576574
Q142-P31-4	Q142	P31	Q7270
Q14369075-P31-1	Q14369075	P31	Q131734
Q145-P31-2	Q145	P31	Q112099
Q145-P31-5	Q145	P31	Q20181813
Q145-P31-1	Q145	P31	Q202686
Q145-P31-3	Q145	P31	Q3624078
Q145-P31-4	Q145	P31	Q6256
Q14744170-P31-1	Q14744170	P31	Q131734
Q14744170-P31-2	Q14744170	P31	Q33506
Q148-P31-4	Q148	P31	Q1520223
Q148-P31-1	Q148	P31	Q3624078
Q148-P31-2	Q148	P31	Q842112
Q148-P31-3	Q148	P31	Q859563
Q14835-P31-3	Q14835	P31	Q134626
Q14835-P31-2	Q14835	P31	Q42744322
Q14835-P31-1	Q14835	P31	Q448801
Q1502941-P31-1	Q1502941	P31	Q4830453
Q15046077-P31-2	Q15046077	P31	Q184208
Q15046077-P31-1	Q15046077	P31	Q25403900
Q15180-P31-6	Q15180	P31	Q1323642
Q15180-P31-7	Q15180	P31	Q1335818
Q15180-P31-3	Q15180	P31	Q3024240
Q15180-P31-4	Q15180	P31	Q3624078
Q15180-P31-1	Q15180	P31	Q512187
Q15180-P31-2	Q15180	P31	Q842112
Q15180-P31-5	Q15180	P31	Q849866
Q152024-P31-1	Q152024	P31	Q2424752
Q152281-P31-1	Q152281	P31	Q1998962
Q1524-P31-3	Q1524	P31	Q1549591
Q1524-P31-2	Q1524	P31	Q5119
Q1524-P31-1	Q1524	P31	Q515
Q153015-P31-2	Q153015	P31	Q26879769
Q153015-P31-1	Q153015	P31	Q3024240
Q153015-P31-3	Q153015	P31	Q417175
Q15304350-P31-1	Q15304350	P31	Q891723
Q153075-P31-1	Q153075	P31	Q131734
Q153075-P31-2	Q153075	P31	Q15075508
Q153075-P31-3	Q153075	P31	Q4830453
Q153075-P31-4	Q153075	P31	Q6881511
Q153546-P31-2	Q153546	P31	Q131734
Q153546-P31-1	Q153546	P31	Q167270
Q154-P31-2	Q154	P31	Q187661
Q154-P31-1	Q154	P31	Q8386
Q155-P31-1	Q155	P31	Q3624078
Q155-P31-3	Q155	P31	Q4209223
Q155-P31-2	Q155	P31	Q859563
Q15622897-P31-1	Q15622897	P31	Q25403900
Q15622897-P31-2	Q15622897	P31	Q4100298
Q15622897-P31-3	Q15622897	P31	Q735160
Q15622897-P31-4	Q15622897	P31	Q95997873
Q15645384-P31-1	Q15645384	P31	Q25403900
Q15645384-P31-2	Q15645384	P31	Q506139
Q1580339-P31-3	Q1580339	P31	Q207174
Q1580339-P31-2	Q1580339	P31	Q25810847
Q1580339-P31-1	Q1580339	P31	Q717040
Q1584923-P31-1	Q1584923	P31	Q167270
Q15873507-P31-1	Q15873507	P31	Q131734
Q15887-P31-2	Q15887	P31	Q13220204
Q15887-P31-1	Q15887	P31	Q328584
Q159-P31-7	Q159	P31	Q1323642
Q159-P31-5	Q159	P31	Q185145
Q159-P31-1	Q159	P31	Q3624078
Q159-P31-3	Q159	P31	Q4209223
Q159-P31-4	Q159	P31	Q619610
Q159-P31-6	Q159	P31	Q6256
Q159-P31-8	Q159	P31	Q63791824
Q159-P31-2	Q159	P31	Q859563
Q16-P31-2	Q16	P31	Q202686
Q16-P31-1	Q16	P31	Q223832
Q16-P31-3	Q16	P31	Q3624078
Q16-P31-4	Q16	P31	Q6256
Q16069319-P31-1	Q16069319	P31	Q131734
Q161140-P31-2	Q161140	P31	Q206361
Q161140-P31-1	Q161140	P31	Q4830453
Q161140-P31-3	Q161140	P31	Q6881511
Q1632494-P31-1	Q1632494	P31	Q131734
Q1632494-P31-2	Q1632494	P31	Q4830453
Q16481513-P31-1	Q16481513	P31	Q131734
Q166280-P31-1	Q166280	P31	Q12047392
Q166423-P31-3	Q166423	P31	Q46205284
Q166423-P31-1	Q166423	P31	Q618779
Q166423-P31-2	Q166423	P31	Q8348747
Q168648-P31-1	Q168648	P31	Q13218690
Q168648-P31-3	Q168648	P31	Q587089
Q168648-P31-2	Q168648	P31	Q681277
Q168648-P31-4	Q168648	P31	Q902814
Q17-P31-2	Q17	P31	Q112099
Q17-P31-1	Q17	P31	Q3624078
Q17151-P31-2	Q17151	P31	Q1549591
Q17151-P31-1	Q17151	P31	Q515
Q17252-P31-3	Q17252	P31	Q3502482
Q17252-P31-1	Q17252	P31	Q82794
Q17252-P31-2	Q17252	P31	Q878223
Q1726-P31-8	Q1726	P31	Q1066984
Q1726-P31-4	Q1726	P31	Q1180262
Q1726-P31-2	Q1726	P31	Q1187811
Q1726-P31-12	Q1726	P31	Q134626
Q1726-P31-5	Q1726	P31	Q14784328
Q1726-P31-3	Q1726	P31	Q1549591
Q1726-P31-10	Q1726	P31	Q1637706
Q1726-P31-7	Q1726	P31	Q200250
Q1726-P31-6	Q1726	P31	Q22865
Q1726-P31-9	Q1726	P31	Q42744322
Q1726-P31-1	Q1726	P31	Q515
Q1726-P31-11	Q1726	P31	Q85631896
Q172668-P31-1	Q172668	P31	Q532
Q1798652-P31-2	Q1798652	P31	Q431289
Q1798652-P31-1	Q1798652	P31	Q4830453
Q1806359-P31-1	Q1806359	P31	Q1400264
Q180855-P31-1	Q180855	P31	Q131734
Q180855-P31-2	Q180855	P31	Q4830453
Q180855-P31-3	Q180855	P31	Q6881511
Q182809-P31-1	Q182809	P31	Q209824
Q1828277-P31-2	Q1828277	P31	Q11707
Q1828277-P31-1	Q1828277	P31	Q131734
Q183-P31-1	Q183	P31	Q3624078
Q183-P31-5	Q183	P31	Q4209223
Q183-P31-2	Q183	P31	Q43702
Q183-P31-4	Q183	P31	Q619610
Q183-P31-6	Q183	P31	Q63791824
Q183-P31-3	Q183	P31	Q7270
Q184-P31-5	Q184	P31	Q123480
Q184-P31-2	Q184	P31	Q179164
Q184-P31-1	Q184	P31	Q3624078
Q184-P31-3	Q184	P31	Q619610
Q184-P31-4	Q184	P31	Q6256
Q184-P31-6	Q184	P31	Q7270
Q185009-P31-1	Q185009	P31	Q79529
Q1867796-P31-1	Q1867796	P31	Q131734
Q189-P31-1	Q189	P31	Q112099
Q189-P31-2	Q189	P31	Q3624078
Q189-P31-3	Q189	P31	Q6256
Q1907605-P31-1	Q1907605	P31	Q4830453
Q191-P31-3	Q191	P31	Q179164
Q191-P31-2	Q191	P31	Q3624078
Q191-P31-5	Q191	P31	Q3624078
Q191-P31-1	Q191	P31	Q6256
Q191-P31-6	Q191	P31	Q63791824
Q191-P31-4	Q191	P31	Q7270
Q19173742-P31-1	Q19173742	P31	Q858157
Q19175504-P31-1	Q19175504	P31	Q191067
Q19237092-P31-1	Q19237092	P31	Q191067
Q19402954-P31-1	Q19402954	P31	Q1440300
Q1974667-P31-1	Q1974667	P31	Q1799072
Q1987425-P31-1	Q1987425	P31	Q131734
Q1987425-P31-2	Q1987425	P31	Q4830453
Q1987425-P31-3	Q1987425	P31	Q6881511
Q1998962-P31-1	Q1998962	P31	Q24017414
Q19991406-P31-1	Q19991406	P31	Q1799072
Q205601-P31-1	Q205601	P31	Q4830453
Q2079-P31-1	Q2079	P31	Q1549591
Q2079-P31-2	Q2079	P31	Q22865
Q2079-P31-4	Q2079	P31	Q253030
Q2079-P31-5	Q2079	P31	Q42744322
Q2079-P31-3	Q2079	P31	Q515
Q2079-P31-6	Q2079	P31	Q61708099
Q208385-P31-1	Q208385	P31	Q1998962
Q208403-P31-1	Q208403	P31	Q515
Q211-P31-1	Q211	P31	Q3624078
Q211-P31-3	Q211	P31	Q63791824
Q211-P31-2	Q211	P31	Q7270
Q212-P31-3	Q212	P31	Q179164
Q212-P31-1	Q212	P31	Q3624078
Q212-P31-6	Q212	P31	Q4209223
Q212-P31-5	Q212	P31	Q619610
Q212-P31-2	Q212	P31	Q6256
Q212-P31-4	Q212	P31	Q7270
Q213-P31-3	Q213	P31	Q123480
Q213-P31-2	Q213	P31	Q3624078
Q213-P31-1	Q213	P31	Q6256
Q214-P31-3	Q214	P31	Q123480
Q214-P31-1	Q214	P31	Q3624078
Q214-P31-2	Q214	P31	Q7270
Q2156377-P31-1	Q2156377	P31	Q131734
Q2174139-P31-1	Q2174139	P31	Q131734
Q217825-P31-1	Q217825	P31	Q1998962
Q219-P31-2	Q219	P31	Q179164
Q219-P31-3	Q219	P31	Q3624078
Q219-P31-1	Q219	P31	Q6256
Q219239-P31-1	Q219239	P31	Q12139612
Q219239-P31-2	Q219239	P31	Q12139612
Q2205893-P31-1	Q2205893	P31	Q4830453
Q2205893-P31-2	Q2205893	P31	Q6881511
Q221-P31-2	Q221	P31	Q123480
Q221-P31-1	Q221	P31	Q3624078
Q222-P31-2	Q222	P31	Q179164
Q222-P31-1	Q222	P31	Q3624078
Q222-P31-4	Q222	P31	Q51576574
Q222-P31-3	Q222	P31	Q7270
Q2239073-P31-1	Q2239073	P31	Q131734
Q224-P31-2	Q224	P31	Q179164
Q224-P31-1	Q224	P31	Q3624078
Q224-P31-3	Q224	P31	Q51576574
Q225-P31-2	Q225	P31	Q1520223
Q225-P31-1	Q225	P31	Q3624078
Q225-P31-3	Q225	P31	Q51576574
Q2268609-P31-1	Q2268609	P31	Q131734
Q227-P31-3	Q227	P31	Q123480
Q227-P31-1	Q227	P31	Q3624078
Q227-P31-4	Q227	P31	Q56061
Q227-P31-2	Q227	P31	Q6256
Q2271859-P31-1	Q2271859	P31	Q1998962
Q228-P31-3	Q228	P31	Q123480
Q228-P31-4	Q228	P31	Q208500
Q228-P31-2	Q228	P31	Q3624078
Q228-P31-1	Q228	P31	Q6256
Q229-P31-2	Q229	P31	Q112099
Q229-P31-4	Q229	P31	Q11396118
Q229-P31-1	Q229	P31	Q3624078
Q229-P31-3	Q229	P31	Q51576574
Q229-P31-5	Q229	P31	Q7275
Q2291152-P31-1	Q2291152	P31	Q131734
Q2292518-P31-1	Q2292518	P31	Q4830453
Q230-P31-3	Q230	P31	Q179164
Q230-P31-2	Q230	P31	Q3624078
Q230-P31-5	Q230	P31	Q4209223
Q230-P31-1	Q230	P31	Q6256
Q230-P31-4	Q230	P31	Q7270
Q2314890-P31-1	Q2314890	P31	Q131734
Q2319266-P31-1	Q2319266	P31	Q131734
Q2320696-P31-1	Q2320696	P31	Q131734
Q233-P31-2	Q233	P31	Q112099
Q233-P31-3	Q233	P31	Q179164
Q233-P31-1	Q233	P31	Q3624078
Q233-P31-5	Q233	P31	Q51576574
Q233-P31-4	Q233	P31	Q6256
Q2343962-P31-1	Q2343962	P31	Q131734
Q2345368-P31-1	Q2345368	P31	Q131734
Q2345368-P31-2	Q2345368	P31	Q4830453
Q23482-P31-1	Q23482	P31	Q1549591
Q23482-P31-2	Q23482	P31	Q2264924
Q23482-P31-3	Q23482	P31	Q484170
Q2348768-P31-1	Q2348768	P31	Q131734
Q236-P31-1	Q236	P31	Q3624078
Q236-P31-2	Q236	P31	Q51576574
Q2404322-P31-1	Q2404322	P31	Q46205284
Q2404322-P31-2	Q2404322	P31	Q618779
Q241-P31-1	Q241	P31	Q112099
Q241-P31-3	Q241	P31	Q179164
Q241-P31-2	Q241	P31	Q3624078
Q241-P31-4	Q241	P31	Q849866
Q241898-P31-2	Q241898	P31	Q15273785
Q241898-P31-1	Q241898	P31	Q493522
Q2421215-P31-1	Q2421215	P31	Q131734
Q2449451-P31-1	Q2449451	P31	Q131734
Q2470761-P31-1	Q2470761	P31	Q131734
Q2497996-P31-1	Q2497996	P31	Q131734
Q253481-P31-1	Q253481	P31	Q1998962
Q2550427-P31-1	Q2550427	P31	Q131734
Q2564899-P31-1	Q2564899	P31	Q131734
Q2579855-P31-1	Q2579855	P31	Q131734
Q258-P31-1	Q258	P31	Q3624078
Q258-P31-2	Q258	P31	Q6256
Q2601227-P31-1	Q2601227	P31	Q4830453
Q261105-P31-1	Q261105	P31	Q1998962
Q2612801-P31-1	Q2612801	P31	Q618779
Q2620189-P31-1	Q2620189	P31	Q131734
Q26253-P31-2	Q26253	P31	Q26934845
Q26253-P31-1	Q26253	P31	Q2914565
Q26253-P31-3	Q26253	P31	Q4445055
Q2638082-P31-1	Q2638082	P31	Q1252971
Q2638082-P31-2	Q2638082	P31	Q131734
Q263980-P31-1	Q263980	P31	Q15075508
Q2689313-P31-1	Q2689313	P31	Q131734
Q27-P31-2	Q27	P31	Q112099
Q27-P31-1	Q27	P31	Q3624078
Q2729871-P31-1	Q2729871	P31	Q167270
Q2729871-P31-2	Q2729871	P31	Q4830453
Q2729871-P31-3	Q2729871	P31	Q6881511
Q2732852-P31-1	Q2732852	P31	Q131734
Q2751525-P31-1	Q2751525	P31	Q131734
Q2751813-P31-1	Q2751813	P31	Q908620
Q2754546-P31-1	Q2754546	P31	Q131734
Q2782244-P31-1	Q2782244	P31	Q131734
Q2791168-P31-1	Q2791168	P31	Q131734
Q2799401-P31-1	Q2799401	P31	Q131734
Q28-P31-2	Q28	P31	Q123480
Q28-P31-1	Q28	P31	Q3624078
Q28195743-P31-1	Q28195743	P31	Q131734
Q282879-P31-1	Q282879	P31	Q4830453
Q283-P31-1	Q283	P31	Q11173
Q283-P31-2	Q283	P31	Q11723014
Q283-P31-3	Q283	P31	Q50690
Q288727-P31-2	Q288727	P31	Q131734
Q288727-P31-1	Q288727	P31	Q4830453
Q288727-P31-3	Q288727	P31	Q6881511
Q29-P31-3	Q29	P31	Q1250464
Q29-P31-1	Q29	P31	Q3624078
Q29-P31-2	Q29	P31	Q51576574
Q2923995-P31-1	Q2923995	P31	Q4830453
Q298-P31-1	Q298	P31	Q3624078
Q2996856-P31-1	Q2996856	P31	Q131734
Q30-P31-5	Q30	P31	Q1489259
Q30-P31-2	Q30	P31	Q1520223
Q30-P31-1	Q30	P31	Q3624078
Q30-P31-4	Q30	P31	Q43702
Q30-P31-3	Q30	P31	Q5255892
Q3012930-P31-1	Q3012930	P31	Q4830453
Q303690-P31-1	Q303690	P31	Q131734
Q3062504-P31-1	Q3062504	P31	Q7889
Q31-P31-4	Q31	P31	Q20181813
Q31-P31-1	Q31	P31	Q3624078
Q31-P31-2	Q31	P31	Q43702
Q31-P31-3	Q31	P31	Q6256
Q3104453-P31-1	Q3104453	P31	Q196756
Q3104453-P31-2	Q3104453	P31	Q2858704
Q3118242-P31-1	Q3118242	P31	Q4830453
Q3127438-P31-1	Q3127438	P31	Q131734
Q313542-P31-1	Q313542	P31	Q131734
Q3136982-P31-1	Q3136982	P31	Q131734
Q315796-P31-7	Q315796	P31	Q1114461
Q315796-P31-8	Q315796	P31	Q15711870
Q315796-P31-6	Q315796	P31	Q15773347
Q315796-P31-5	Q315796	P31	Q3658341
Q315796-P31-1	Q315796	P31	Q4271324
Q315796-P31-3	Q315796	P31	Q4686758
Q315796-P31-2	Q315796	P31	Q5464477
Q315796-P31-4	Q315796	P31	Q717040
Q3182007-P31-1	Q3182007	P31	Q131734
Q32-P31-4	Q32	P31	Q123480
Q32-P31-3	Q32	P31	Q165116
Q32-P31-2	Q32	P31	Q179164
Q32-P31-1	Q32	P31	Q3624078
Q3206604-P31-1	Q3206604	P31	Q131734
Q3214940-P31-1	Q3214940	P31	Q2349698
Q3214940-P31-2	Q3214940	P31	Q735160
Q3214940-P31-3	Q3214940	P31	Q95997873
Q32241267-P31-1	Q32241267	P31	Q23442
Q33-P31-3	Q33	P31	Q179164
